author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Welling, Bart",2011,"Critical anthropomorphism in the 'Age of biocybernetic reproduction': A response to Nicole Merola's 'Monkeys, Apes, and Bears, oh my!' [response essay]",JAC: Journal of Advanced Composition,31,3-4,660-685,660,685,,,,"science, human-animal, anthropocentrism",,"*JAC: Journal of Advanced Composition 31.3-4*, 660-685"
"Glenn, Cathy B",2011,Toward a relational process approach to critical practice [response essay],JAC: Journal of Advanced Composition,31,3-4,685-702,685,702,,,,"human-animal, moral",,"*JAC: Journal of Advanced Composition 31.3-4*, 685-702"
"Bernard-Donals, Michael",2011,Archival writing [response essay],JAC: Journal of Advanced Composition,31,3-4,703-717,703,717,,,,"archive, FYC, portfolio, post-liberal",,"*JAC: Journal of Advanced Composition 31.3-4*, 703-717"
"Yancey, Kathleen Blake",2011,"Portfolios, learning, and agency: Promises, perceptions, possibilities [response essay]",JAC: Journal of Advanced Composition,31,3-4,717-736,717,736,,,,"portolio, FYC, reflection",,"*JAC: Journal of Advanced Composition 31.3-4*, 717-736"
"Dunn, Patricia A",2011,What is 'normal'? Defining terms and questioning commonplaces in public policy debates [response essay],JAC: Journal of Advanced Composition,31,3-4,736-752,736,752,,,,"disability-studies, ableist, rhetoric, universal-design",,"*JAC: Journal of Advanced Composition 31.3-4*, 736-752"
"Vadali, Amy",2011,Embodying/disabling plagiarism [response essay],JAC: Journal of Advanced Composition,31,3-4,752-769,752,769,,,,"plagiarism, metaphor, embodiment, disability",,"*JAC: Journal of Advanced Composition 31.3-4*, 752-769"
"Santos, Marc C",2011,"Rhetoric and ethics, metaphysics and alterity [book review]",JAC: Journal of Advanced Composition,31,3-4,771-782,771,782,,,,"Inessential Solidarity, by Diane Davis; rhetoric, metaphysics, ethics",,"*JAC: Journal of Advanced Composition 31.3-4*, 771-782"
"Larrimore, Whitney",2011,"The interconnected worlds of humans and technology: Reassembling the social, reimagining the rhetorical [book review]",JAC: Journal of Advanced Composition,31,3-4,782-793,782,793,,,,"Reassembling the Social: An Introduction to Actor-Network Theory, by Bruno Latour; Lingua Franca: Towards a Rhetoric of New Media, by Collin Gifford Brooke; rhetoric, digital",,"*JAC: Journal of Advanced Composition 31.3-4*, 782-793"
"Dance, Daryl Lynn; Frank Farmer",2011,Nostalgia for what never was: If only English only could [book review],JAC: Journal of Advanced Composition,31,3-4,794-804,794,804,,,,"Cross Language Relations in Composition, edited by Bruce Horner, Min-Zhan Lou, and Paul Kei Matsuda; Affirming Students' Right to Their Own Language: Bridging Language Policies and Pedagogical Practice, edited by Jerrie Cobb Scott, Dolores Y. Straker, and Laurie Katz; multilingual, English-only, language policy",,"*JAC: Journal of Advanced Composition 31.3-4*, 794-804"
"Barrett-Fox, Jason",2012,"Rhetorics of indirection, indiscretion, insurrection: The 'feminine style' of Anita Loos, 1912-1925","JAC: A Journal of Rhetoric, Culture, and Politics",31,1-2,221-249,221,249,,,,"rhetorical indirection, indirect rhetoric, feminism, film, early American cinema, rhetoric and technology",,"*JAC: A Journal of Rhetoric, Culture, and Politics 31.1-2*, 221-249"
"Worsham, Lynn; Gary A. Olson",2012,"Temple Grandin, Translator: Sounding autism, seeing animals, making a difference",JAC: Journal of Advanced Composition,32,1-2,11-56,11,56,,,,"autism, disability, animal-studies",,"*JAC: Journal of Advanced Composition 32.1-2*, 11-56"
"Giroux, Henry; Susan Searls Giroux",2012,Scandalous Politics: Penn State and the Return of the Repressed in Higher Education,JAC: Journal of Advanced Composition,32,1-2,57-81,57,81,,,,"politics, higher-education, neo-liberal",,"*JAC: Journal of Advanced Composition 32.1-2*, 57-81"
"Harrison, Stan",2012,"Combined Development, Not Digital Divide: A Discourse on the Possibility of Social-Linguistic Emergence in the Age of Vital Capitalism",JAC: Journal of Advanced Composition,32,1-2,83-144,83,144,,,,"digital, access",,"*JAC: Journal of Advanced Composition 32.1-2*, 83-144"
"Kopp, Drew",2012,"Cutting the edge of the will to truth; or, how post-process pedagogy is biting its own tail",JAC: Journal of Advanced Composition,32,1-2,145-184,145,184,,,,"postprocess, pedagogy, FYC",,"*JAC: Journal of Advanced Composition 32.1-2*, 145-184"
"Jensen, Kyle",2012,Rhetorical listening in principle: A Burkean apology,JAC: Journal of Advanced Composition,32,1-2,185-219,185,219,,,,"rhetoric, Burke",,"*JAC: Journal of Advanced Composition 32.1-2*, 185-219"
"Coffman, Christopher K",2012,"Toward a structural stylistics of exhibition: Space, rhetoric, and institutional legitimization",JAC: Journal of Advanced Composition,32,1-2,221-278,221,278,,,,"rhetoric, style",,"*JAC: Journal of Advanced Composition 32.1-2*, 221-278"
"Prenosil, Joshua D",2012,The embodied enthymeme: A hybrid theory of protest,JAC: Journal of Advanced Composition,32,1-2,279-303,279,303,,,,"enthymeme, rhetoric, embodiment, protest",,"*JAC: Journal of Advanced Composition 32.1-2*, 279-303"
"Robillard, Amy E",2012,"Narrating the """"good teacher"""" in rhetoric and composition: Ideology, affect, complicity",JAC: Journal of Advanced Composition,32,1-2,305-336,305,336,,,,"FYC, pedagogy, affect",,"*JAC: Journal of Advanced Composition 32.1-2*, 305-336"
"Vogelaar, Alison E",2012,"Fatal abstractions: A reflection on cinema, suburbia, and slaughter [response essay]",JAC: Journal of Advanced Composition,32,1-2,337-346,337,346,,,,"film, suburb, violence",,"*JAC: Journal of Advanced Composition 32.1-2*, 337-346"
"Haynes, Cynthia",2012,Accidental Metaphysics: What Animals Don't Think About [response essay],JAC: Journal of Advanced Composition,32,1-2,347-353,347,353,,,,"animal-studies, metaphysics",,"*JAC: Journal of Advanced Composition 32.1-2*, 347-353"
"Gomaa, Sally",2012,Visual Rhetorical Analysis: The Case of Smokey Bear [response essay],JAC: Journal of Advanced Composition,32,1-2,354-361,354,361,,,,"animal-studies, visual rhetoric",,"*JAC: Journal of Advanced Composition 32.1-2*, 354-361"
"Rice, Jeff",2012,Guttered Anecdotes [response essay],JAC: Journal of Advanced Composition,32,1-2,362-372,362,372,,,,anecdote,,"*JAC: Journal of Advanced Composition 32.1-2*, 362-372"
"Johnson, Jenell",2012,"Disability, Animals, and the Rhetorical Boundaries of Personhood [response essay]",JAC: Journal of Advanced Composition,32,1-2,372-382,372,382,,,,"animal-studies, rhetoric, disability, human",,"*JAC: Journal of Advanced Composition 32.1-2*, 372-382"
"Brooke, Robert",2012,"Pain, Labor, and Creation: A Response to Don Kraemer [response essay]",JAC: Journal of Advanced Composition,32,1-2,382-390,382,390,,,,"pain, labor, school, teacher-training",,"*JAC: Journal of Advanced Composition 32.1-2*, 382-390"
"Brooks, Ronald Clark",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,391-395,391,395,,,,"What is Posthumanism?,?by Cary Wolfe",,"*JAC: Journal of Advanced Composition 32.1-2*, 391-395"
"Kennedy, Tammie M",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,395-400,395,400,,,,"Rhetorica in Motion: Feminist Rhetorical Methods and Methodologies, edited by Eileen E. Schell and K.J. Rawson",,"*JAC: Journal of Advanced Composition 32.1-2*, 395-400"
"Cole, Kristi K",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,401-406,401,406,,,,"Missing Bodies: The Politics of Visibility, by Monica J. Casper and Lisa Jean Moore",,"*JAC: Journal of Advanced Composition 32.1-2*, 401-406"
"Quinn, Stephanie",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,406-411,406,411,,,,"The Public Work of Rhetoric: Citizen-Scholars and Civic Engagement, edited by John M. Ackerman and David J. Coogan",,"*JAC: Journal of Advanced Composition 32.1-2*, 406-411"
"Lee, Kimberli",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,411-415,411,415,,,,"X-Marks: Native Signatures of Assent, by Scott Richard Lyons; Native-Am, identity, literacy",,"*JAC: Journal of Advanced Composition 32.1-2*, 411-415"
"Ashby, Dominic",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,416-424,416,424,,,,"Writing in the Devil's Tongue: A History of English Composition in China by Xiaoye You; FYC, international, global, colonial",,"*JAC: Journal of Advanced Composition 32.1-2*, 416-424"
"Ventura, Abbie E",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,424-428,424,428,,,,"Suffering Childhood in Early America: Violence, Race, and the Making of the Child Victim, by Anna Mae Duane",,"*JAC: Journal of Advanced Composition 32.1-2*, 424-428"
"Phillips, Lisa L",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,429-433,429,433,,,,"American Iconographic: National Geographic, Global Culture, and the Visual Imagination, by Stephanie L. Hawkins; archive",,"*JAC: Journal of Advanced Composition 32.1-2*, 429-433"
"Inoue, Asao B",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,434-439,434,439,,,,"Your Average Nigga: Performing Race, Literacy and Masculinity,?by Vershawn Ashanti Young; African-Am, racism",,"*JAC: Journal of Advanced Composition 32.1-2*, 434-439"
"Bobbitt, David",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,439-443,439,443,,,,"Perfection: Coming to Terms with Being Human, by Michael J. Hyde; bible, rhetoric, religion, hermeneutics",,"*JAC: Journal of Advanced Composition 32.1-2*, 439-443"
"Olson, Gary A",2012,[book review],JAC: Journal of Advanced Composition,32,1-2,443-446,443,446,,,,"How to Write a Sentence, and How to Read One, by Stanley Fish, style, craft",,"*JAC: Journal of Advanced Composition 32.1-2*, 443-446"
"Selfe, Cynthia I.; William C. Kurlinkus",2012,The Watson Symposium: What might we be missing . . . and why? [response comic book blog],JAC: Journal of Advanced Composition,32,3-4,,,,,,,"2012 Watson conference, multimodal, visual, digital",,*JAC: Journal of Advanced Composition 32.3-4*
"Horner, Bruce",2012,Guest Editor Introduction: Economies of Writing,JAC: Journal of Advanced Composition,32,3-4,453-460,453,460,,,,"2012 Watson conference, economy, market, democracy, nationalism, community, media, rhetoric",,"*JAC: Journal of Advanced Composition 32.3-4*, 453-460"
"Gilyard, Keith",2012,"Writing economies, activism, and community work",JAC: Journal of Advanced Composition,32,3-4,461-478,461,478,,,,"2012 Watson conference, economy, prison, literacy, race, class, literacy",,"*JAC: Journal of Advanced Composition 32.3-4*, 461-478"
"Cintron, Ralph",2012,"Fieldwork, take 101",JAC: Journal of Advanced Composition,32,3-4,479-512,479,512,,,,"2012 Watson conference, democracy, rhetoric, Latino, Puerto Rico, public",,"*JAC: Journal of Advanced Composition 32.3-4*, 479-512"
"Mao, LuMing",2012,The economies of writing writ large: The rhetoric of cultural nationalism,JAC: Journal of Advanced Composition,32,3-4,513-539,513,539,,,,"2012 Watson conference, China, language difference, language policy",,"*JAC: Journal of Advanced Composition 32.3-4*, 513-539"
"Cushman, Ellen",2012,Learning from the Cherokee Syllabary: A rhetorical approach to media research and teaching,JAC: Journal of Advanced Composition,32,3-4,541-564,541,564,,,,"2012 Watson conference, Cherokee, Native-Am, multilingual, identity, language loss, literacy",,"*JAC: Journal of Advanced Composition 32.3-4*, 541-564"
"Milson-Whyte, Vivette",2012,"Economies, identities, and perceptions of writing: Self-portraits and academic writing performance among Jamaican students",JAC: Journal of Advanced Composition,32,3-4,565-590,565,590,,,,"2012 Watson conference, literacy, Jamaica, gender, creole",,"*JAC: Journal of Advanced Composition 32.3-4*, 565-590"
"Kapp, Rochelle",2012,Students' negotiations of English and literacy in a time of social change,JAC: Journal of Advanced Composition,32,3-4,591-614,591,614,,,,"2012 Watson conference, South Africa, race, multilingual, literacy, class, African, ethnographic, school-college",,"*JAC: Journal of Advanced Composition 32.3-4*, 591-614"
"Gunner, Jeanne",2012,Disciplinary purification: The writing program as institutional brand,JAC: Journal of Advanced Composition,32,3-4,615-643,615,643,,,,"2012 Watson conference, disciplinarity, WPA",,"*JAC: Journal of Advanced Composition 32.3-4*, 615-643"
"Lindquist, Julie",2012,Time to grow them: Practicing slow research in a fast field,JAC: Journal of Advanced Composition,32,3-4,645-666,645,666,,,,"2012 Watson conference, research-method, marketplace, rhet-comp, English studies, qualitative, literacy",,"*JAC: Journal of Advanced Composition 32.3-4*, 645-666"
"Harris, Joseph",2012,Using student texts in composition scholarship,JAC: Journal of Advanced Composition,32,3-4,667-694,667,694,,,,"2012 Watson conference, student-writing, disciplinarity, scholarly-article",,"*JAC: Journal of Advanced Composition 32.3-4*, 667-694"
"Lillis, Theresa",2012,Economies of signs in writing for academic publication: The case of English medium 'national' journals,JAC: Journal of Advanced Composition,32,3-4,695-722,695,722,,,,"2012 Watson conference, English, scholarship, scholarly-publishing, scholarly-writing, value, global, multilingual",,"*JAC: Journal of Advanced Composition 32.3-4*, 695-722"
"Trimbur, John",2012,Writing after print capitalism [response essay],JAC: Journal of Advanced Composition,32,3-4,723-731,723,731,,,,"2012 Watson conference, FYC, economic, marketplace, capitalism, neoliberal",,"*JAC: Journal of Advanced Composition 32.3-4*, 723-731"
"Kilfoil, Carrie Byars",2012,The nature and value of work in rhetoric and composition [response essay],JAC: Journal of Advanced Composition,32,3-4,731-737,731,737,,,,"2012 Watson conference, rhet-comp, economic, labor, disciplinarity",,"*JAC: Journal of Advanced Composition 32.3-4*, 731-737"
"Perry, Kathryn",2012,Responding to branding via writing assessment [response essay],JAC: Journal of Advanced Composition,32,3-4,738-742,738,742,,,,"2012 Watson conference, capitalism, disciplinarity, labor, WPA, assessment",,"*JAC: Journal of Advanced Composition 32.3-4*, 738-742"
"Wetherbee, Ben",2012,Toward a polyphonic model of student coauthorship: A response to Joseph Harris and Julie Lindquist [response essay],JAC: Journal of Advanced Composition,32,3-4,743-751,743,751,,,,"2012 Watson conference, student-writing, co-authorship",,"*JAC: Journal of Advanced Composition 32.3-4*, 743-751"
"Lueck, Amy",2012,Disciplinary resistance: Promoting possibility for the writing program [response essay],JAC: Journal of Advanced Composition,32,3-4,751-758,751,758,,,,"2012 Watson conference, WPA, brand",,"*JAC: Journal of Advanced Composition 32.3-4*, 751-758"
